Open,High,Low,Close,Adjusted_close,Volume
166.37,167.81,164.2,164.87,164.119,60276900
164.02,165.82,163.25,164.92,164.1688,63135500
167.68,169.34,166.9,169.24,168.4691,70170500
170.06,170.99,168.19,168.49,167.7225,57149200
169.82,172.17,169.4,172.1,171.3161,68039400
171.52,173.39,171.35,173.19,172.4011,54091700
172.78,173.71,171.66,173.03,172.2419,56377100
172.77,176.15,172.57,174.55,173.7549,79542000
173.75,174.9,173.12,174.15,173.3568,62290100
173.03,173.74,171.31,171.52,170.7387,70346300
169.69,169.86,167.14,167.57,166.8067,69026800
167.08,168.71,166.65,167.23,166.4683,54147100
167.32,168.11,166.25,167.53,166.7669,53841500
168.78,170.14,168.35,170.03,169.2555,51218200
170.57,171.05,163.56,163.62,162.8747,78961000
161.15,162.9,159.82,161.38,160.6449,73314000
162.13,162.56,157.72,158.91,158.1862,77906200
160.31,160.58,157.14,157.22,156.5039,87991100
156.64,158.42,154.67,157.96,157.2405,74229900
159.75,160.36,154.97,155.81,155.1003,76957800
156.47,157.09,153.69,154.53,153.8261,73714800
154.82,156.67,153.61,155.96,155.2496,87449600
154.64,156.36,152.68,154.46,153.7564,84923800
155.47,157.82,154.75,157.37,156.6532,68028800
159.59,164.26,159.3,163.43,162.6856,104956000
159.9,160.54,153.37,153.84,153.1393,122656600
154.79,157.1,153.61,155.31,154.6026,87965400
154.65,155.24,151.38,152.37,151.676,90481100
151.21,151.35,148.37,150.7,150.0136,162278800
149.31,154.56,149.1,154.48,153.7763,81474200
153.4,158.08,153.08,156.9,156.1853,107689800
157.34,158.74,153.6,153.72,153.0198,101696800
152.38,154.47,150.91,152.74,152.0443,86652500
151.19,151.47,148.56,150.43,149.7448,96029900
149.66,153.77,149.64,150.77,150.0832,93339400
152.74,154.72,149.95,151.76,151.0687,84442700
147.64,150.64,144.84,149.84,149.1575,146691400
146.1,146.72,140.68,142.48,141.831,128138200
141.28,143.1,138.0,138.2,137.5705,124925300
138.21,143.07,137.69,142.45,141.8011,114311700
145.03,146.22,144.26,146.1,145.4345,87830100
144.07,147.38,143.01,146.4,145.7332,79471000
145.81,147.54,145.22,145.43,144.7676,68402200
142.54,143.1,139.45,140.09,139.4519,85925600
140.42,141.89,138.57,140.42,139.7804,74899000
139.9,141.35,138.22,138.98,138.3469,77033700
139.13,140.36,138.16,138.34,137.7099,70433700
134.99,143.59,134.37,142.99,142.3387,113224000
144.31,144.52,138.19,138.38,137.7497,88598000
141.07,142.9,140.27,142.41,141.7613,85250900
145.49,146.7,140.61,143.75,143.0952,99136600
141.69,144.95,141.5,143.86,143.2047,61758300
143.02,145.89,142.65,143.39,142.7369,64522000
142.87,147.85,142.65,147.27,146.5992,86548600
147.19,150.23,146.0,149.45,148.7693,75981900
150.09,152.49,149.36,152.34,151.6461,74732300
150.96,151.99,148.04,149.35,148.6697,88194300
148.07,149.05,144.13,144.8,144.1404,109180200
148.2,157.5,147.82,155.74,155.0306,164762400
153.16,154.24,151.92,153.34,152.6415,97943200
155.08,155.45,149.13,150.65,149.9638,80379300
148.95,152.17,145.0,145.03,144.3694,93604600
142.06,142.8,138.75,138.88,138.2474,97918500
142.09,142.67,134.38,138.38,137.9782,140814800
