Open,High,Low,Close,Adjusted_close,Volume
98.41,100.92,97.52,99.7,99.7,56202900
99.09,101.17,98.45,101.16,101.16,48053900
99.21,100.63,98.1,98.15,98.15,56339200
97.8,97.94,95.65,97.2,97.2,59967700
95.34,95.61,94.27,94.58,94.58,56580400
95.1,97.01,94.8,95.79,95.79,59534100
96.12,96.43,93.67,95.82,95.82,48467000
93.53,94.14,92.32,93.5,93.5,57053800
94.28,94.78,93.14,93.76,93.76,47470300
93.14,94.69,92.92,94.23,94.23,43959300
93.87,94.68,91.59,92.17,92.17,52299500
91.41,92.23,90.39,92.13,92.13,55509400
92.74,94.94,92.66,94.9,94.9,55695300
95.19,96.55,93.74,93.75,93.75,52112400
94.06,95.09,92.78,93.55,93.55,49100700
93.6,94.17,92.18,93.92,93.92,44899100
93.68,96.21,92.18,92.25,92.25,56218700
92.67,93.57,90.25,90.73,90.73,69747500
89.97,94.02,88.12,92.43,92.43,72397100
93.83,95.07,92.71,94.88,94.88,60912700
93.22,96.67,93.07,96.2,96.2,70731800
95.75,100.99,95.61,100.04,100.04,84446900
99.79,100.66,97.46,98.95,98.95,87173200
98.41,98.48,95.7,97.71,97.71,62388900
98.14,100.85,98.0,100.61,100.61,58597300
100.45,102.1,98.61,98.7,98.7,57475400
100.43,101.06,97.62,98.71,98.71,57559300
98.07,98.3,96.4,98.13,98.13,56095400
99.07,99.34,97.08,98.04,98.04,46721300
98.11,98.44,96.29,97.24,97.24,38720100
98.69,100.42,98.56,100.25,100.25,49783300
101.55,103.04,101.01,102.0,102.0,53633400
102.16,103.49,101.95,103.29,103.29,56704300
102.3,103.29,101.43,102.41,102.41,41135700
102.75,104.2,102.11,103.95,103.95,48662500
103.91,103.91,100.75,101.1,101.1,45175400
100.75,102.38,99.8,102.06,102.06,43808000
100.96,102.2,99.57,102.17,102.17,37261200
100.8,101.0,99.01,99.92,99.92,60417800
100.4,100.51,97.71,97.83,97.83,56735000
98.95,102.57,98.71,102.4,102.4,67925100
102.07,103.2,101.11,102.51,102.51,51388300
103.16,103.73,101.59,102.74,102.74,39919500
103.95,104.2,101.52,102.3,102.3,39790500
101.58,105.12,101.39,104.3,104.3,58398900
103.53,105.25,103.21,103.81,103.81,57696900
106.1,108.15,105.08,106.96,106.96,86689700
107.66,109.23,105.07,106.21,106.21,69575600
104.91,105.45,102.45,102.57,102.57,65026800
105.04,106.62,104.1,104.98,104.98,73803800
108.16,110.86,106.8,109.82,109.82,149961200
107.73,109.48,104.33,105.45,105.45,130565000
104.95,105.23,101.82,102.05,102.05,74728100
101.47,103.9,101.15,103.63,103.63,73469400
103.74,105.96,103.28,103.65,103.65,65051900
104.04,105.39,103.31,104.0,104.0,45345500
104.27,105.76,103.55,105.66,105.66,56912900
105.04,106.1,104.7,105.83,105.83,49430900
105.48,106.79,105.16,106.62,106.62,44089400
108.1,110.67,108.05,110.19,110.19,78627600
111.03,113.28,110.49,112.18,112.18,74924800
112.16,112.64,109.32,110.26,110.26,49810100
111.15,112.29,109.25,111.2,111.2,53011152
111.05,114.7899,111.05,113.4,113.4,71472914
114.89,115.83,114.22,115.5,115.5,65655200
116.69,118.6,116.34,118.15,118.15,73174100
118.16,118.31,115.7,116.25,116.25,54990200
116.77,116.77,114.25,115.01,115.01,70741100
114.27,117.14,113.78,114.99,114.99,67576300
115.35,117.34,115.02,116.75,116.75,63487900
116.63,116.87,114.31,115.0,115.0,66496700
116.04,121.5,116.02,120.11,120.11,96681000
122.37,122.92,119.86,121.66,121.66,64314800
121.45,122.04,119.17,120.58,120.58,72800800
120.69,123.49,119.93,122.77,122.77,54375100
124.92,126.39,124.02,124.25,124.25,61215000
123.36,125.8,123.03,125.3,125.3,47950100
125.07,127.4,125.0,126.61,126.61,45695200
127.01,127.37,120.63,121.23,121.23,95663300
123.01,125.63,122.26,124.25,124.25,62159300
124.08,125.8,123.19,123.43,123.43,51330000
124.02,126.78,123.53,126.57,126.57,51338000
128.12,128.41,125.18,126.66,126.66,50564800
126.7,126.95,124.12,126.42,126.42,52422500
125.21,127.69,124.32,127.11,127.11,60458500
127.71,127.9,125.3,125.49,125.49,84188100
124.97,127.25,124.5,125.78,125.78,56930100
125.64,126.73,123.85,124.83,124.83,52137700
125.31,130.33,125.14,130.15,130.15,90354600
129.11,130.84,128.28,129.33,129.33,71855200
129.33,131.49,127.1,127.33,127.33,59989300
128.63,130.09,127.55,129.18,129.18,46801000
128.94,131.48,128.44,129.04,129.04,52149500
128.77,129.26,127.26,127.9,127.9,40761000
129.47,131.25,128.95,130.36,130.36,54310500
130.82,131.85,130.07,130.22,130.22,28264800
130.24,131.4,129.64,130.38,130.38,35895400
128.25,128.73,127.37,128.36,128.36,40639900
128.59,130.97,128.13,129.78,129.78,41928700
129.07,129.28,125.92,127.13,127.13,61889300
127.75,129.77,127.35,128.78,128.78,49951500
130.31,131.26,128.83,130.8,130.8,54022800
134.04,134.67,132.71,134.3,134.3,61170900
134.06,136.65,134.06,134.68,134.68,54388100
134.56,135.62,133.21,133.56,133.56,48450200
132.71,133.86,131.35,132.83,132.83,54969100
133.39,135.99,132.53,135.36,135.36,54531000
134.07,134.79,129.33,129.96,129.96,59820600
131.34,131.37,128.42,130.0,130.0,133265000
130.31,131.66,128.35,128.8,128.8,45591100
129.31,129.58,128.53,129.13,129.13,39236700
126.51,129.08,126.11,128.15,128.15,53910100
131.0,132.63,127.79,128.25,128.25,52610700
129.69,133.01,129.33,132.21,132.21,46317400
133.2,133.87,132.38,133.68,133.68,41901500
133.55,133.69,131.62,131.69,131.69,42098500
130.15,130.23,126.82,128.21,128.21,51027600
127.48,129.84,126.41,128.91,128.91,88585200
141.06,143.63,139.32,139.57,139.57,152938700
